"id","organization","source_name","location","official_url","official_social_url","audience","collection_method","cadence","robots_api_status","priority","policy","implementation_status","existing_catalog_overlap","notes"
"ggcf_gyeonggi_jang","경기문화재단","컬처라운지 경기,장 프로그램","경기 수원 영통구","https://www.ggcf.kr/events","https://www.instagram.com/ggcfkr/","만 5세 이상·어린이·가족","GGCF public JSON /api/events,/api/edus plus official detail","daily","robots allows content/API; public JSON 200","P0","allowlist metadata; never automate booking/login","implemented_dedicated_and_shared_api","missing_before_this_audit","User-reported omission. 2026-06 family popup found at /events/318; venue text includes 경기,장."
"ggcf_sscampus","경기문화재단","경기상상캠퍼스 교육·행사","경기 수원 권선구","https://sscampus.ggcf.kr/edus","https://www.instagram.com/sscampus.kr/","유아·초등·가족·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200; detail pages public","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Silkscreen, nature, exhibition-linked workshops recur."
"ggcf_gcm","경기문화재단","경기도어린이박물관 교육","경기 용인 기흥구","https://gcm.ggcf.kr/edus","https://www.instagram.com/g_childrens_museum","유아·초등·가족·단체","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200; detail pages public","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Current API contains elementary summer programs."
"ggcf_gyeonggi_museum","경기문화재단","경기도박물관 교육·행사","경기 용인 기흥구","https://musenet.ggcf.kr/edus","https://www.instagram.com/gyeonggiprovincemuseum","어린이·가족·청소년·시민","GGCF public JSON plus public news board","daily","public JSON 200","P0","allowlist metadata; members.ggcf.kr booking excluded","implemented_shared_api","missing_before_this_audit","Museum-school and family craft notices appear on official board."
"ggcf_njp","경기문화재단","백남준아트센터 교육·행사","경기 용인 기흥구","https://njp.ggcf.kr/edus","https://www.instagram.com/njpartcenter/","어린이·가족·학교·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Exhibition-linked media art programs."
"ggcf_gmoma","경기문화재단","경기도미술관 교육·행사","경기 안산 단원구","https://gmoma.ggcf.kr/edus","https://www.instagram.com/gyeonggimoma/","어린이·가족·학교·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Family and exhibition education are separate from general event portals."
"ggcf_silhak","경기문화재단","실학박물관 교육·행사","경기 남양주 조안면","https://silhak.ggcf.kr/edus","https://www.instagram.com/silhakmuseum/","초등·가족·학교·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Weekend family education confirmed in official feed."
"ggcf_jgpm","경기문화재단","전곡선사박물관 교육·행사","경기 연천 전곡읍","https://jgpm.ggcf.kr/edus","https://www.instagram.com/jgpmuseum/","유아·초등·가족·학교","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Prehistory family workshops and seasonal events."
"ggcf_ngcm","경기문화재단","경기북부어린이박물관 교육·행사","경기 동두천","https://ngcm.ggcf.kr/edus","https://www.instagram.com/ngcmuseum","유아·초등·가족·단체","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Northern Gyeonggi family/child source."
"ggcf_namhansanseong","경기문화재단 경기역사문화유산원","남한산성역사문화관 교육·행사","경기 광주 남한산성면","https://gjicp.ggcf.kr/edus","https://www.instagram.com/ggcfkr/","초등·가족·학교·시민","GGCF public JSON plus official institute detail","daily","public JSON 200","P0","allowlist metadata","implemented_shared_api","missing_before_this_audit","Use place/title to distinguish from Gyeonggi Old Roads."
"ggcf_gcc","경기문화재단","경기창작캠퍼스 교육·행사","경기 안산 대부도","https://gcc.ggcf.kr/edus","https://www.instagram.com/ggcfkr/","어린이·가족·청소년·시민","GGCF public JSON filtered by affiliation_code/name","daily","public JSON 200","P1","allowlist metadata","implemented_shared_api","missing_before_this_audit","Newer campus; monitor sparse seasonal programs."
"ggcf_gyeonggi_old_roads","경기문화재단 경기역사문화유산원","경기옛길 걷기·체험 행사","경기도 전역","https://gjicp.ggcf.kr/events","https://www.instagram.com/ggcfkr/","가족·초등 동반·시민","GGCF public JSON plus place/title keyword","daily","public JSON 200","P1","allowlist metadata","implemented_shared_api","missing_before_this_audit","Filter for family/child-safe routes and explicit audience."
"suwon_museum_sw","수원시박물관사업소","수원박물관 교육 예약","경기 수원 영통구","https://rmuseum.suwon.go.kr/progrm/progrmList.do","https://www.instagram.com/swmuseum","유아·초등·가족·단체","public POST JSON progrmAjaxList.do; museumCd=SW; detail public","daily","public JSON observed; research host timed out once on 2026-07-15","P0","allowlist list/detail; reservation submission excluded","implemented_runtime_guarded","not_in_previous_research_docs","Adapter implemented; runtime fails closed during intermittent robots/host timeout."
"suwon_museum_gg","수원시박물관사업소","수원광교박물관 교육 예약","경기 수원 영통구","https://rmuseum.suwon.go.kr/progrm/progrmList.do","https://www.instagram.com/swggmuseum/","유아·초등·가족·단체","public POST JSON progrmAjaxList.do; museumCd=GG; detail public","daily","public JSON observed; transient host timeout possible","P0","allowlist list/detail","implemented_runtime_guarded","not_in_previous_research_docs","Adapter exact-filters cross-museum rows; runtime robots fail closed."
"suwon_museum_hs","수원시박물관사업소","수원화성박물관 교육 예약","경기 수원 팔달구","https://rmuseum.suwon.go.kr/progrm/progrmList.do","https://www.facebook.com/hsmuseum","유아·초등·가족·단체","public POST JSON progrmAjaxList.do; museumCd=HS; detail public","daily","public JSON observed; transient host timeout possible","P0","allowlist list/detail","implemented_runtime_guarded","not_in_previous_research_docs","Adapter implemented; runtime robots fail closed when host policy cannot be read."
"suwon_culture_education","수원문화재단","수원문화재단 교육정보","경기 수원 전역","https://www.swcf.or.kr/?p=30","https://www.instagram.com/swcf_official/","어린이·가족·청소년·시민","public SSR HTML list/detail","daily","list HTTP 200 on 2026-07-15","P0","metadata-only; external payment/booking excluded","implemented_shared_html","partial_overlap_suwon_city_portal","Dedicated monthly education-list adapter; 2026 current list included 어린이 소리꾼 and 방학특강 홍재서당."
"suwon_traditional_culture","수원문화재단","수원전통문화관 교육·체험","경기 수원 팔달구","https://www.swcf.or.kr/?p=157","https://www.instagram.com/swcf_official/","유아·초등·가족","public SSR HTML; venue/program filter","daily","public HTML 200","P0","metadata-only","implemented_shared_html","not_in_previous_research_docs","Covered by the foundation-wide monthly education list and official details."
"suwon_media_center","수원문화재단","수원시미디어센터 교육·체험","경기 수원 팔달구","https://www.swcf.or.kr/?p=307","https://www.instagram.com/swcf_official/","유치부·초등·청소년·가족·시민","SWCF public education/event HTML filtered by venue","daily","public HTML 200","P0","metadata-only","implemented_shared_html","not_in_previous_research_docs","Covered by the foundation-wide monthly education list and official details."
"suwon_moa","수원시립미술관","수원시립미술관 교육","경기 수원","https://suma.suwon.go.kr/edu/edu_list.do","","어린이·가족·청소년·시민","ODCloud dataset preferred; official HTML as freshness/detail fallback","daily","official list HTTP 200 on 2026-07-15","P1","allowlist metadata","implemented_odcloud","existing_odcloud_suwon_art_education","Do not duplicate; use official HTML for reconciliation only."
"suwon_library_programs","수원시도서관사업소","수원시도서관 통합 강좌·행사","경기 수원 전역","https://www.suwonlib.go.kr/reserve/lecture/lectureList.do","https://www.instagram.com/suwon_lib/","유아·초등·가족·청소년","official public integrated-reservation list/detail GET; branch and target filters","daily","robots 200 text/plain; /reserve/lecture/ is allowed","P1","metadata-only; login/application excluded","implemented_official_alternative","not_in_previous_research_docs","Connector suwon_library_child_programs replaces only the legacy maintenance URL. Live 2026-07-15~12-31: 67 child/family records; no apply/login/member path."
"suwon_dodream","수원시 기후변화체험교육관","두드림 가족·어린이 환경교육","경기 수원 권선구","https://www.swdodream.or.kr/?p=40","https://www.instagram.com/swdodream/","유아·초등·가족·학교","public program list ?p=40 and detail ?p=40_view&idx={idx}","daily","program p=40 allowed; robots-disallowed p=27 notices and booking are excluded","P1","metadata-only","adapter_candidate","possible_suwon_portal_overlap","Stable IDs verified: idx 769, 770, 771, 772. Deduplicate against Suwon integrated reservation by title/date/venue."
"suwon_ecology_network","수원시 환경교육네트워크","칠보·광교 생태환경체험교육","경기 수원 권선·영통","https://www.suwoneco.com/lmth/02_margorp/margorp_02.asp","https://www.instagram.com/suwoneco_/","유아·초등·가족·학교","official public program list and factual detail GET","daily","robots 200; list/detail paths are not disallowed","P1","metadata-only","implemented_dedicated_html","possible_suwon_portal_overlap","Connector suwon_ecology_child_programs. Live 2026-07-15~12-31: 3 current child/family programs; application/result/login paths are never called."
"suwon_youth_programs","수원시청소년청년재단","수원 청소년 활동·생태·진로 프로그램","경기 수원 전역","https://www.syf.or.kr/","","초등 고학년·청소년·가족","public program/reservation list; official news fallback","daily","JS/legacy pages require schema review","P1","metadata-only; application excluded","manual_schema_review","possible_suwon_portal_overlap","Homepage exposed 광교 친환경 생태체험 그린사이클."
"national_map_museum","국토지리정보원","국립지도박물관 교육·체험 공고","경기 수원 영통구","https://www.ngii.go.kr/map/board/list.do?board_code=edudetail_map","","초등·가족·학교·단체","public official board list/detail","daily","public board metadata","P1","metadata-only","adapter_candidate","missing_before_this_audit","Recent official education detail uses board_code=edudetail_map."
"haewoojae_programs","수원시 화장실문화전시관","해우재 어린이체험관·교육 공지","경기 수원 장안구","https://haewoojae.com/m/load.asp?subPage=220","","유아·초등 저학년·가족","public education/event lists subPage=220/230 and details subPage=221/231 by idx","daily","public notice pages; no booking automation","P2","metadata-only","adapter_candidate","missing_before_this_audit","Legacy subPage=411 is a detail template, not the recurring feed. Handle CP949/EUC-KR defensively and never request download/admin paths."
"gg_safety_experience","경기도소방재난본부","경기도 국민안전체험관 프로그램","경기 오산","https://ggsec.gg.go.kr/boardList?type=04","","어린이·학생·가족·시민","notice-only public board plus a low-frequency static program-type snapshot","daily","public notice list/detail; reservChoice/reservAgree and all reservation steps excluded","P0","metadata-only","adapter_candidate","missing_before_this_audit","Notice-only connector scope: new programs and booking-open dates can be discovered, but remaining-seat availability is intentionally unavailable."
"gg_marine_safety","경기평택항만공사","경기해양안전체험관 프로그램","경기 안산 대부도","https://ggmsec.ggbada.co.kr/home/kor/contents.do?menuPos=49","","초등·청소년·가족·학교","public official HTML/sitemap; reservation excluded","daily","ggbada robots only names Googlebot rules; sitemap public","P1","metadata-only pending explicit generic-UA review","manual_schema_review","missing_before_this_audit","Survival swimming and marine-disaster experience metadata."
"goe_future_science","경기도교육청미래과학교육원","미래과학교육원 체험학습·방학 프로그램","경기 수원 장안구·의정부","https://www.gise.kr/gise/aply/lctr/selectLctrList.do?lctrLrnClsfCd=STUDY&mi=10718","","초등·중등·가족·학교","public student-course list/detail plus official public-data CSV enrichment","daily","public metadata; authenticated application excluded","P0","metadata-only","adapter_candidate","missing_before_this_audit","Stable lctrSn can be an SY-prefixed string (verified SY00001399), not digits only. Read descriptions only; exclude application form/PII."
"goe_safety_education","경기도교육청안전교육관","안전교육관 가족·학생 체험","경기 양주","https://www.goese.kr/ko/board/notice_ko/list.do","","학생·가족·교직원·시민","public official notice list/detail keyed by docSeq","daily","public pages; reservation/GP KI submission excluded","P1","metadata-only","adapter_candidate","missing_before_this_audit","Verified docSeq=2910 for a 2026 elementary-family program. Strip jsessionid; never call experience confirmation/reservation paths."
"kcmf_gyeonggi","시청자미디어재단","경기시청자미디어센터 체험·교육","경기 남양주","https://kcmf.or.kr/KCMF/contents/KCMF050907.do","","유아·초중고·가족·시민·학교","public official notice list/detail; course metadata only","daily","public SSR board","P1","metadata-only; phone/member course application excluded","adapter_candidate","missing_before_this_audit","2026 media experience notice specifies TV news and student programs."
"gill_paju_campus","경기도평생교육진흥원","경기미래교육 파주캠퍼스 모집·체험","경기 파주","https://www.gill.or.kr/gill/pgm/i-81/evnt/front/list.do","https://pf.kakao.com/_xaBWqM","초등·청소년·가족·학교","public official recruitment list/detail; campus/place filter","daily","public HTML metadata","P1","metadata-only","adapter_candidate","missing_before_this_audit","Future-family camp, maker, creative science, English programs."
"gill_yangpyeong_campus","경기도평생교육진흥원","경기미래교육 양평캠퍼스 교육·모집·행사","경기 양평","https://www.gill.or.kr/gill/pgm/i-290/evnt/front/list.do","","초등·청소년·가족·학교","public official list/detail; campus filter","daily","public HTML metadata","P1","metadata-only","adapter_candidate","missing_before_this_audit","English, future-career, family weekend programs."
"ggac_arts_education","경기아트센터","경기아트센터 어린이 예술교육","경기 수원 팔달구","https://www.ggac.or.kr/ggac/M0000294/edu/program/list.do?gubun=CD001605","","초등·청소년·가족·시민","public Suwon/Yongin education lists and details keyed by gubun+idx","daily","public official HTML","P1","metadata-only; ticketing excluded","adapter_candidate","missing_before_this_audit","Verified idx=EP000056. Keep Suwon and Yongin gubun codes distinct; ticketing remains excluded."
"gyeonggi_library_programs","경기도서관","경기도서관 어린이·가족 프로그램","경기 수원 영통구","https://www.library.kr/ggl/community/events/program-list","https://www.instagram.com/golibrary1","어린이·가족·청소년·시민","first-party public JSON list/detail used by the official Nuxt program page","daily","robots 200; public program list/detail APIs are not disallowed","P1","metadata-only","implemented_first_party_json","missing_before_this_audit","Connector gyeonggi_library_programs. Live 2026-07-15~12-31: 12 child/family records; no application, participant, login, reservation, or payment path."
"korea_jobworld_children","한국잡월드","한국잡월드 어린이체험관·프로그램","경기 성남 분당구","https://www.koreajobworld.or.kr/exrPreview/exrPreViewList.do?site=1&floor=1&exhpCd=33","https://www.instagram.com/koreajobworld/","만 4세~초등 4학년 중심","official public floor list plus read-only selectExrPreviewImg JSON by exhpHzCd","daily","public metadata; booking/payment/member flows excluded","P0","metadata-only","adapter_candidate","missing_before_this_audit","Whitelist public experience-room fields only. Never ingest the historical reservation ZIP because it contains member/name/school identifiers."
"samsung_mobility_museum","삼성화재","삼성화재 모빌리티뮤지엄 어린이 프로그램","경기 용인 처인구","https://www.stm.or.kr/","","어린이·가족·학교","public official program/event HTML; metadata only","daily","robots URL returned a 412 HTML error; policy is not confirmed","P2","partnership/manual until a valid robots policy or feed is confirmed","hold_policy_unknown","missing_from_private_brand_catalog","Separate from Samsung Innovation Museum; official ESG confirms children's safety education."
"goyang_children_museum","고양특례시·고양문화재단","고양어린이박물관 교육·행사","경기 고양 덕양구","https://www.goyang.go.kr/news/user/bbs/BD_selectBbsList.do","https://www.instagram.com/goyangcm/","유아·초등·가족·학교","Goyang City News public search list/detail; museum origin is never requested","daily","city-news path allowed; museum origin remains User-agent:* Disallow:/","P3","metadata-only on city-news alternative; deny all automated requests to museum origin","implemented_via_official_city_publication","partial_overlap_goyang_reservation","Connector goyang_children_museum_city_news parses official city publications into dated sessions. Museum domain, booking, login, attachments, images, and downloads remain untouched."
"hwaseong_children_culture","화성시","화성시어린이문화센터 교육·직업체험","경기 화성 봉담읍","https://childrenjob.hscity.go.kr/booking/fmcs/1","","유아·초등·가족","public official booking-list metadata; do not submit booking","daily","public list visible; identity/eligibility proof only at visit/application","P0","allowlist list/detail only","adapter_candidate","missing_before_this_audit","Career exploration and education programs; official tourism page corroborates operator."
"yongin_imagination_forest","용인문화재단","용인어린이상상의숲 프로그램","경기 용인 처인구","https://www.yicf.or.kr/","https://www.instagram.com/yifc_forest","유아·초등·가족","public show/program list/detail; venue filter","daily","public official metadata","P1","metadata-only","manual_schema_review","partial_overlap_yongin_reservation","Official city tourism notice links to the facility's official Instagram."
"namyangju_children_vision","남양주도시공사","남양주 어린이비전센터 프로그램","경기 남양주 진접읍","https://www.ncuc.or.kr/children/715","","유아·초등·가족","public notice list/detail keyed by 32-character action-value","daily","public metadata; reservation/payment excluded","P1","metadata-only","adapter_candidate","missing_before_this_audit","The previous /children/674 URL is the facility home, not the feed. Do not request robots-disallowed /children/2356 or booking/payment paths."
"bucheon_robopark","부천산업진흥원","부천로보파크 어린이 교육·행사","경기 부천 원미구","https://robopark.org/ko/contents/RP0403000000.do","","초등·가족·학교","public education list/detail keyed by eduSn","daily","public official metadata","P1","metadata-only","adapter_candidate","partial_overlap_bucheon_reservation","Verified eduSn=2304. Merge city-reservation duplicates by provider/title/period while retaining the institution detail as canonical."
"korea_manhwa_museum","한국만화영상진흥원","한국만화박물관 어린이 교육","경기 부천 원미구","https://www.komacon.kr/comicsmuseum/edu/ssad.asp","","초등·가족·청소년","public official education list/detail; city lecture fallback","daily","legacy public HTML","P1","metadata-only","adapter_candidate","partial_overlap_bucheon_city_courses","2026 city official page confirmed free elementary cartoon education."
"bucheon_astronomy","부천천문과학관","부천천문과학관 교육·관측 프로그램","경기 부천 원미구","https://www.astrobucheon.or.kr/sub/sub0301.php","","초등·가족·학교·시민","public official legacy HTML notice/program board","daily","public list/detail with Crawl-delay: 600; assets, images, PDF/XML and admin paths disallowed","P1","metadata-only; daily list and at least 600 seconds between new-ID detail requests","adapter_candidate","partial_overlap_bucheon_reservation","Use a dedicated host queue and cache; never follow external Naver booking. Program notices may precede city reservation entries."
"siheung_oido_museum","시흥시","시흥오이도박물관·선사유적공원 교육","경기 시흥","https://oidomuseum.siheung.go.kr/ruins/introduce.hs","","유아·초등·가족·학교","public official museum/program/news HTML","daily","public official metadata","P1","metadata-only","manual_schema_review","missing_before_this_audit","Archaeology, shell-midden, prehistoric crafts; museum and park share operator."
"pocheon_hantangang_geopark","포천시","한탄강세계지질공원 지질교육·체험","경기 포천 영북면","https://www.hantangeopark.kr/bbs/board.php?bo_table=program_01","","초등·가족·학교·시민","public official program board list/detail","daily","public board metadata","P1","metadata-only","adapter_candidate","missing_before_this_audit","Official board includes geology education and free kayak experiences."
"nfm_paju_family","국립민속박물관","국립민속박물관 파주 어린이·가족 교육","경기 파주 탄현면","https://www.nfm.go.kr/user/eduPlan/home/85/dataList.do?searchEduPlanCate=&searchStatus=","","유아·초등·중등 동반 가족","public official education list/detail; place filter=파주","daily","public SSR list; application separate","P1","metadata-only","adapter_candidate","partial_overlap_nfm_seoul_source","The previous home/87 expert list was wrong. Filter home/85 by child/family evidence and Paju venue, deduplicating by eduPlanIdx."
"gmocca_icheon","한국도자재단","경기도자미술관 어린이·가족 교육","경기 이천","https://www.gmocca.org/","https://www.instagram.com/kocef/","유아·초등·가족·학교","public official program/notice HTML; social used discovery-only","daily","new official domain; robots/schema review required","P1","metadata-only","manual_schema_review","missing_before_this_audit","Family/child clay, wheel and exhibition education; validate exact list endpoint."
"gyeonggi_ceramic_museum","한국도자재단","경기도자박물관 어린이·가족 교육","경기 광주 곤지암읍","https://www.kocef.org/","https://www.instagram.com/kocef/","유아·초등·가족·학교","public official notices/program metadata; social discovery-only","daily","exact program endpoint needs schema review","P1","metadata-only","manual_schema_review","missing_before_this_audit","2026 state-heritage live experience and shared GCM program confirmed."
"goe_north_early_childhood","경기도교육청북부유아체험교육원","북부유아체험교육원 가족체험","경기 양주","https://www.goe-aha.kr/","","유아·가족·학부모·기관","public official notices/calendar; family reservation metadata only","daily","public news; login/reservation excluded","P2","metadata-only","manual_schema_review","missing_before_this_audit","Below primary-school focus but relevant to households with younger siblings."
"goe_south_early_childhood","경기도교육청남부유아체험교육원","남부유아체험교육원 가족체험","경기 평택 팽성읍","https://www.kench.kr/kench/na/ntt/selectNttList.do?mi=10730&bbsId=6141","","유아·가족·학부모·기관","public official notice list/detail plus read-only family-experience rsvtInfo description","daily","public notice/description pages; application lookup, login, reservation and cancellation excluded","P2","metadata-only","adapter_candidate","missing_before_this_audit","The prior aply/rm/rsvt/selectAplyList path is a reservation lookup/cancel screen and must never be used as a feed."
"samsung_innovation_audit_marker","삼성전자","Samsung Innovation Museum 어린이 교육","경기 수원 영통구","https://samsunginnovationmuseum.com/ko/reserve/edu/academyList.do","","어린이·가족·학교","public JSON selectShowList.json plus public detail/event endpoints","daily when explicitly approved","public list JSON; booking/login excluded","P0","explicit-source approval; metadata only","implemented_existing_and_extended","existing_source_not_a_new_candidate","Included only as an audit marker because the user explicitly asked; do not count as newly discovered."
